Timestamp|Steering|SteeringSpeed|Throttle|Brake|SteeringSensor|SpeedSensor
1712302885.982238|0.0|49920|0.0|0.0|16|0
1712302887.305892|0.0|49920|0.0|0.0|16|0
1712302887.3418605|0.0|49920|0.0|0.0|16|0
1712302887.3738625|0.0|49920|0.0|0.0|16|0
1712302887.4058661|0.0|49920|0.0|0.0|16|0
1712302887.4378679|0.0|49920|0.0|0.0|16|0
1712302887.4738593|0.0|49920|0.0|0.0|16|0
1712302887.505863|0.0|49920|0.0|0.0|16|0
1712302887.5378664|0.0|49920|0.0|0.0|16|0
1712302887.573861|0.0|49920|0.0|0.0|16|0
1712302887.605864|0.0|49920|0.0|0.0|16|0
1712302887.641862|0.0|49920|0.0|0.0|16|0
1712302887.6738627|0.0|49920|0.0|0.0|16|0
1712302887.7058673|0.0|49920|0.0|0.0|16|0
1712302887.7418604|0.0|49920|0.0|0.0|16|0
1712302887.7738638|0.0|49920|0.0|0.0|16|0
1712302887.8058677|0.0|49920|0.0|0.0|16|0
1712302887.8418603|0.0|49920|0.0|0.0|16|0
1712302887.8738654|0.0|49920|0.0|0.0|16|0
1712302887.9058683|0.0|49920|0.0|0.0|16|0
1712302887.941861|0.0|49920|0.0|0.0|16|0
1712302887.973868|0.0|49920|0.0|0.0|16|0
1712302888.005869|0.0|49920|0.0|0.0|16|0
1712302888.041865|0.0|49920|0.0|0.0|16|0
1712302888.0738673|0.0|49920|0.0|0.0|16|0
1712302888.1058722|0.0|49920|0.0|0.0|16|0
1712302888.141865|0.0|49920|0.0|0.0|16|0
1712302888.1738775|0.0|49920|0.0|0.0|16|0
1712302888.2098658|0.0|49920|0.0|0.0|16|0
1712302888.2418685|0.0|49920|0.0|0.0|16|0
1712302888.2738688|0.0|49920|0.0|0.0|16|0
1712302888.3098643|0.0|49920|0.0|0.0|16|0
1712302888.3418694|0.0|49920|0.0|0.0|16|0
1712302888.3738887|0.0|49920|0.0|0.0|16|0
1712302888.4098663|0.0|49920|0.0|0.0|16|0
1712302888.441871|0.0|49920|0.0|0.0|16|0
1712302888.4738727|0.0|49920|0.0|0.0|16|0
1712302888.5098655|0.0|49920|0.0|0.0|16|0
1712302888.5418699|0.0|49920|0.0|0.0|16|0
1712302888.5738785|0.0|49920|0.0|0.0|16|0
1712302888.609868|0.0|49920|0.0|0.0|16|0
