epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,666.168,1.24478,0.76406,0.96918,0.85097,0.92948,0.91962,0.61952,1.11479,0.63309,0.93526,0.0091684,0.0091684,0.0091684
44,681.662,1.22944,0.7538,0.96643,0.84949,0.9337,0.9113,0.63534,1.07325,0.62418,0.93633,0.0091486,0.0091486,0.0091486
45,697.143,1.24786,0.77545,0.96761,0.84705,0.91538,0.92,0.62817,1.07924,0.63277,0.9315,0.0091288,0.0091288,0.0091288
46,712.574,1.23316,0.75902,0.9708,0.82952,0.92106,0.91145,0.63002,1.07019,0.63251,0.92991,0.009109,0.009109,0.009109
47,727.983,1.23985,0.75264,0.96308,0.84416,0.88402,0.91203,0.62473,1.0833,0.63506,0.93377,0.0090892,0.0090892,0.0090892
48,743.419,1.21578,0.74486,0.97142,0.85789,0.92103,0.91854,0.62501,1.08255,0.63674,0.93963,0.0090694,0.0090694,0.0090694
49,758.84,1.22905,0.75476,0.96138,0.85563,0.93272,0.9178,0.63696,1.06356,0.61816,0.93359,0.0090496,0.0090496,0.0090496
50,774.308,1.22346,0.74929,0.96494,0.83877,0.94099,0.92406,0.63848,1.05201,0.61558,0.93005,0.0090298,0.0090298,0.0090298
51,789.696,1.2241,0.74895,0.95899,0.8428,0.9533,0.92416,0.64032,1.04369,0.60221,0.93099,0.00901,0.00901,0.00901
52,805.113,1.20974,0.74821,0.96595,0.87026,0.91847,0.915,0.64017,1.06242,0.61109,0.93152,0.0089902,0.0089902,0.0089902
53,820.491,1.2287,0.74781,0.96167,0.86164,0.91781,0.91885,0.63463,1.09473,0.61237,0.93301,0.0089704,0.0089704,0.0089704
54,835.948,1.20728,0.73255,0.95597,0.87133,0.88381,0.91779,0.63662,1.08141,0.62575,0.93569,0.0089506,0.0089506,0.0089506
55,851.813,1.2147,0.73766,0.96957,0.84143,0.92963,0.91675,0.6368,1.05772,0.61675,0.93292,0.0089308,0.0089308,0.0089308
56,867.149,1.20662,0.7366,0.95822,0.84343,0.93178,0.92661,0.64931,1.0715,0.61356,0.93577,0.008911,0.008911,0.008911
57,882.513,1.21404,0.74772,0.96094,0.86432,0.92183,0.92465,0.65215,1.05814,0.59147,0.93387,0.0088912,0.0088912,0.0088912
58,898.016,1.20619,0.73297,0.95557,0.88858,0.90318,0.92987,0.65149,1.06698,0.6068,0.93437,0.0088714,0.0088714,0.0088714
59,913.513,1.19099,0.73464,0.95901,0.83499,0.95277,0.92496,0.6507,1.03895,0.60193,0.93111,0.0088516,0.0088516,0.0088516
60,928.913,1.18395,0.73012,0.94297,0.85033,0.94045,0.92636,0.63923,1.07752,0.60984,0.93326,0.0088318,0.0088318,0.0088318
61,944.316,1.17658,0.72773,0.95098,0.83865,0.94525,0.92648,0.64629,1.0334,0.58624,0.92655,0.008812,0.008812,0.008812
62,959.726,1.19628,0.7245,0.95447,0.86936,0.92046,0.92163,0.64417,1.03901,0.60263,0.92165,0.0087922,0.0087922,0.0087922
63,975.031,1.19002,0.73328,0.95231,0.85989,0.92274,0.92911,0.63497,1.08533,0.60179,0.93213,0.0087724,0.0087724,0.0087724
64,990.496,1.20564,0.74132,0.95867,0.84931,0.94718,0.92923,0.64724,1.05216,0.59975,0.92486,0.0087526,0.0087526,0.0087526
65,1005.96,1.19461,0.73297,0.95341,0.8485,0.95314,0.92726,0.65368,1.04127,0.59517,0.92169,0.0087328,0.0087328,0.0087328
66,1021.37,1.19312,0.72183,0.95731,0.85411,0.94934,0.93002,0.64102,1.07273,0.58882,0.93031,0.008713,0.008713,0.008713
67,1036.76,1.18325,0.72523,0.94966,0.86008,0.90231,0.92092,0.64989,1.02011,0.58158,0.92264,0.0086932,0.0086932,0.0086932
68,1052.15,1.1844,0.71451,0.95703,0.87802,0.9154,0.93295,0.658,1.0203,0.59363,0.92217,0.0086734,0.0086734,0.0086734
69,1067.56,1.1836,0.7226,0.9461,0.87969,0.90608,0.92983,0.65625,1.046,0.59311,0.92776,0.0086536,0.0086536,0.0086536
70,1083.01,1.18062,0.715,0.9461,0.86427,0.9048,0.92516,0.65463,1.02721,0.59241,0.92209,0.0086338,0.0086338,0.0086338
71,1098.38,1.18888,0.73437,0.95765,0.86206,0.91701,0.92199,0.65342,1.02059,0.59003,0.9197,0.008614,0.008614,0.008614
72,1114.24,1.1899,0.71899,0.94422,0.86543,0.92935,0.93044,0.6567,1.02632,0.59657,0.91846,0.0085942,0.0085942,0.0085942
73,1129.61,1.18465,0.71998,0.94735,0.83933,0.95675,0.92931,0.6563,1.01494,0.59224,0.9183,0.0085744,0.0085744,0.0085744
74,1145.02,1.17989,0.71777,0.95304,0.84659,0.93281,0.93326,0.66283,1.01066,0.57606,0.91903,0.0085546,0.0085546,0.0085546
75,1160.48,1.17289,0.71578,0.95563,0.85382,0.94868,0.9323,0.6638,1.0173,0.57763,0.91997,0.0085348,0.0085348,0.0085348
76,1175.9,1.17628,0.70779,0.95106,0.86236,0.93781,0.93446,0.66521,1.01287,0.57163,0.92305,0.008515,0.008515,0.008515
77,1191.32,1.16582,0.71379,0.94711,0.83779,0.9513,0.93026,0.65796,1.02644,0.58416,0.92291,0.0084952,0.0084952,0.0084952
78,1206.78,1.18111,0.71808,0.94616,0.85053,0.92534,0.93332,0.65739,1.02742,0.58063,0.92369,0.0084754,0.0084754,0.0084754
79,1222.18,1.17438,0.71474,0.9483,0.83855,0.94843,0.93189,0.65516,1.0139,0.57698,0.91658,0.0084556,0.0084556,0.0084556
80,1237.55,1.16358,0.70747,0.94931,0.85029,0.94422,0.928,0.66155,1.02361,0.57546,0.91887,0.0084358,0.0084358,0.0084358
81,1252.91,1.18029,0.72045,0.95081,0.85543,0.9441,0.93366,0.66416,1.01901,0.57329,0.91979,0.008416,0.008416,0.008416
82,1268.32,1.17014,0.70501,0.95415,0.85301,0.9476,0.92996,0.668,0.98995,0.56522,0.91919,0.0083962,0.0083962,0.0083962
83,1283.72,1.17033,0.71082,0.93948,0.85985,0.93677,0.9271,0.66648,0.99024,0.56189,0.91652,0.0083764,0.0083764,0.0083764
84,1299.15,1.16624,0.70279,0.94758,0.84746,0.95203,0.92899,0.67059,0.99484,0.5712,0.91714,0.0083566,0.0083566,0.0083566
85,1314.63,1.15168,0.71481,0.9419,0.88591,0.88999,0.9321,0.66817,0.99357,0.56836,0.91849,0.0083368,0.0083368,0.0083368
86,1330.05,1.1648,0.70394,0.94579,0.86326,0.9333,0.93451,0.66656,1.00498,0.55972,0.92117,0.008317,0.008317,0.008317
87,1345.48,1.14961,0.70139,0.93984,0.87584,0.91358,0.93503,0.66143,1.00886,0.57558,0.9183,0.0082972,0.0082972,0.0082972
88,1360.91,1.14002,0.69334,0.93653,0.86007,0.92976,0.93067,0.66254,0.99667,0.56477,0.91836,0.0082774,0.0082774,0.0082774
89,1376.69,1.15238,0.69979,0.93937,0.86043,0.92869,0.93002,0.66147,1.01116,0.55953,0.91782,0.0082576,0.0082576,0.0082576
90,1392.07,1.13872,0.69614,0.93881,0.84717,0.92469,0.92944,0.65877,1.00812,0.56808,0.91456,0.0082378,0.0082378,0.0082378
91,1407.45,1.15425,0.69716,0.94005,0.88731,0.89978,0.93055,0.65821,1.01279,0.5644,0.91181,0.008218,0.008218,0.008218
92,1422.86,1.1448,0.69135,0.9397,0.85487,0.93719,0.92733,0.65516,1.00199,0.56061,0.91515,0.0081982,0.0081982,0.0081982
93,1438.33,1.14637,0.69539,0.93504,0.85459,0.93764,0.93236,0.66088,1.01621,0.5555,0.92027,0.0081784,0.0081784,0.0081784
94,1453.76,1.14489,0.69077,0.92914,0.8583,0.94256,0.9367,0.66578,1.01165,0.5559,0.91687,0.0081586,0.0081586,0.0081586
95,1469.19,1.14539,0.69275,0.94197,0.85179,0.94484,0.93396,0.67093,0.99895,0.55361,0.91381,0.0081388,0.0081388,0.0081388
96,1484.56,1.13543,0.68379,0.93733,0.84517,0.95073,0.93408,0.67066,0.99949,0.55033,0.91689,0.008119,0.008119,0.008119
97,1499.93,1.13972,0.7028,0.93732,0.86709,0.92466,0.93538,0.67733,1.00267,0.55423,0.91469,0.0080992,0.0080992,0.0080992
98,1515.32,1.15384,0.69595,0.93969,0.86091,0.93702,0.93735,0.67731,0.99241,0.5603,0.91556,0.0080794,0.0080794,0.0080794
99,1530.67,1.1416,0.68777,0.9317,0.8701,0.93316,0.93711,0.67505,0.98982,0.55611,0.91515,0.0080596,0.0080596,0.0080596
100,1546.05,1.1349,0.69886,0.94337,0.86502,0.93526,0.93432,0.6737,0.99975,0.55406,0.92153,0.0080398,0.0080398,0.0080398
101,1561.5,1.14081,0.68772,0.93777,0.86738,0.92158,0.93134,0.6707,1.01041,0.54827,0.91987,0.00802,0.00802,0.00802
102,1576.88,1.14037,0.68796,0.94057,0.86173,0.9453,0.93425,0.67168,1.00502,0.55034,0.91622,0.0080002,0.0080002,0.0080002
103,1592.27,1.1399,0.6922,0.94279,0.87109,0.93269,0.93238,0.66885,0.99997,0.55262,0.91469,0.0079804,0.0079804,0.0079804
104,1607.69,1.1347,0.68689,0.94237,0.86916,0.93058,0.93591,0.6676,0.99726,0.54811,0.91511,0.0079606,0.0079606,0.0079606
105,1623.17,1.13759,0.69211,0.93894,0.87076,0.93765,0.93498,0.67034,0.98157,0.5468,0.91271,0.0079408,0.0079408,0.0079408
106,1638.98,1.12894,0.68455,0.93394,0.86841,0.93304,0.93517,0.67048,0.98872,0.54431,0.91244,0.007921,0.007921,0.007921
107,1654.32,1.1307,0.69182,0.93444,0.86928,0.92843,0.93422,0.66652,0.984,0.54197,0.91161,0.0079012,0.0079012,0.0079012
108,1669.77,1.13289,0.68106,0.93286,0.86039,0.92296,0.93573,0.66721,0.98166,0.54266,0.91168,0.0078814,0.0078814,0.0078814
109,1685.15,1.13851,0.68433,0.93758,0.86202,0.93631,0.9343,0.6675,0.97904,0.53927,0.91423,0.0078616,0.0078616,0.0078616
110,1700.54,1.12941,0.68791,0.9412,0.85519,0.94556,0.93925,0.67967,0.97424,0.53986,0.91212,0.0078418,0.0078418,0.0078418
111,1715.84,1.12106,0.67795,0.9387,0.86986,0.93203,0.93887,0.68219,0.97666,0.54123,0.912,0.007822,0.007822,0.007822
112,1731.21,1.12351,0.68201,0.93918,0.87487,0.92933,0.93747,0.67684,0.98016,0.54276,0.91614,0.0078022,0.0078022,0.0078022
113,1746.63,1.12288,0.67947,0.93585,0.88035,0.92379,0.93917,0.67868,0.97314,0.54088,0.91456,0.0077824,0.0077824,0.0077824
114,1762.02,1.12696,0.68132,0.93356,0.88005,0.92181,0.93649,0.67438,0.97981,0.54203,0.91456,0.0077626,0.0077626,0.0077626
115,1777.38,1.11985,0.66915,0.93308,0.86864,0.9272,0.93642,0.67526,0.9803,0.53994,0.9148,0.0077428,0.0077428,0.0077428
116,1792.74,1.11822,0.66741,0.93405,0.87182,0.93025,0.93927,0.67859,0.98363,0.54196,0.91511,0.007723,0.007723,0.007723
117,1808.14,1.12632,0.67439,0.9358,0.88369,0.93479,0.93885,0.67522,0.98295,0.5448,0.91488,0.0077032,0.0077032,0.0077032
118,1823.48,1.12641,0.6787,0.94182,0.87613,0.93435,0.94,0.67732,0.97563,0.53854,0.91468,0.0076834,0.0076834,0.0076834
119,1838.86,1.10772,0.66473,0.93039,0.88103,0.93322,0.93838,0.67855,0.9751,0.53732,0.9156,0.0076636,0.0076636,0.0076636
120,1854.25,1.11505,0.66913,0.92955,0.87784,0.93765,0.9409,0.67277,0.98907,0.5368,0.91867,0.0076438,0.0076438,0.0076438
121,1869.63,1.13669,0.67995,0.92943,0.87045,0.93737,0.94047,0.67718,0.99468,0.53711,0.92024,0.007624,0.007624,0.007624
122,1885.45,1.12002,0.66693,0.93423,0.87494,0.9313,0.94034,0.67586,0.99364,0.53363,0.9196,0.0076042,0.0076042,0.0076042
123,1900.87,1.13501,0.68473,0.93497,0.8756,0.93003,0.94015,0.67181,0.98778,0.53278,0.91914,0.0075844,0.0075844,0.0075844
124,1916.3,1.12994,0.67939,0.93738,0.87846,0.94001,0.94104,0.67652,0.98291,0.53229,0.91741,0.0075646,0.0075646,0.0075646
125,1931.64,1.10456,0.66282,0.93329,0.85992,0.94711,0.93951,0.67668,0.98549,0.53067,0.91713,0.0075448,0.0075448,0.0075448
126,1947.03,1.11308,0.6661,0.92866,0.86517,0.93656,0.93773,0.67236,0.98873,0.53285,0.91704,0.007525,0.007525,0.007525
